ci95_high,ci95_low,direction,layer,mask_condition,mean,metric,n,pack,position_group,positive_frac,prompt_runs,rank_mean,scale,stage
11.25,-4.75,restore,0,union_mask,3.25,hidden_target_logit_effect,4,primary,visual_span,0.5,4,3.75,1.0,hidden_lattice
1.375,-0.5,corrupt,14,answer_mask,0.4375,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,1.0,1.0,hidden_lattice
-0.625,-3.625,corrupt,14,shifted_mask,-2.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,-1.0,1.0,hidden_lattice
1.75,-1.1875,corrupt,14,shuffled_mask,0.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,-0.25,1.0,hidden_lattice
3.125,-0.625,corrupt,14,union_mask,1.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,1.0,1.0,hidden_lattice
0.3125,-0.8125,corrupt,14,answer_mask,-0.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.25,4,-0.5,1.0,hidden_lattice
0.5,-0.4375,corrupt,14,shifted_mask,0.0625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,-0.25,1.0,hidden_lattice
0.375,-0.6875,corrupt,14,shuffled_mask,-0.0625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.0,1.0,hidden_lattice
0.0,-1.0,corrupt,14,union_mask,-0.5,hidden_target_logit_effect,4,primary,top_hidden_delta,0.25,4,-0.25,1.0,hidden_lattice
7.6875,0.625,corrupt,14,answer_mask,3.125,hidden_target_logit_effect,4,primary,visual+answer,1.0,4,2.25,1.0,hidden_lattice
-1.0,-7.375,corrupt,14,shifted_mask,-4.1875,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,-1.75,1.0,hidden_lattice
-0.0625,-3.75,corrupt,14,shuffled_mask,-1.8125,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,-0.75,1.0,hidden_lattice
7.8125,0.125,corrupt,14,union_mask,3.0625,hidden_target_logit_effect,4,primary,visual+answer,0.75,4,2.25,1.0,hidden_lattice
10.75,3.125,corrupt,14,answer_mask,6.25,hidden_target_logit_effect,4,primary,visual_span,1.0,4,2.5,1.0,hidden_lattice
-0.75,-5.0625,corrupt,14,shifted_mask,-2.8125,hidden_target_logit_effect,4,primary,visual_span,0.0,4,-0.75,1.0,hidden_lattice
-0.8125,-1.875,corrupt,14,shuffled_mask,-1.375,hidden_target_logit_effect,4,primary,visual_span,0.0,4,-0.75,1.0,hidden_lattice
10.5625,1.75,corrupt,14,union_mask,5.5625,hidden_target_logit_effect,4,primary,visual_span,1.0,4,2.25,1.0,hidden_lattice
1.25,-6.375,restore,14,answer_mask,-2.5625,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,-0.25,1.0,hidden_lattice
-0.125,-2.3125,restore,14,shifted_mask,-1.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,-0.25,1.0,hidden_lattice
1.875,-1.875,restore,14,shuffled_mask,-0.25,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,-0.25,1.0,hidden_lattice
1.75,-2.8125,restore,14,union_mask,-0.4375,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,-0.5,1.0,hidden_lattice
8.125,0.375,restore,14,answer_mask,4.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.75,4,2.25,1.0,hidden_lattice
0.75,-1.25,restore,14,shifted_mask,-0.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.0,1.0,hidden_lattice
1.0,-0.5,restore,14,shuffled_mask,0.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,-0.25,1.0,hidden_lattice
8.125,0.375,restore,14,union_mask,4.25,hidden_target_logit_effect,4,primary,top_hidden_delta,1.0,4,2.25,1.0,hidden_lattice
11.0,-7.375,restore,14,answer_mask,1.8125,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,2.25,1.0,hidden_lattice
-0.125,-1.5,restore,14,shifted_mask,-0.8125,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,-1.25,1.0,hidden_lattice
1.3125,-2.75,restore,14,shuffled_mask,-1.0625,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,-0.75,1.0,hidden_lattice
11.0,-4.75,restore,14,union_mask,3.125,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,2.0,1.0,hidden_lattice
9.75,-1.25,restore,14,answer_mask,4.25,hidden_target_logit_effect,4,primary,visual_span,0.5,4,2.0,1.0,hidden_lattice
0.125,-0.4375,restore,14,shifted_mask,-0.1875,hidden_target_logit_effect,4,primary,visual_span,0.25,4,0.0,1.0,hidden_lattice
-0.375,-2.375,restore,14,shuffled_mask,-1.375,hidden_target_logit_effect,4,primary,visual_span,0.0,4,-0.25,1.0,hidden_lattice
9.75,-2.125,restore,14,union_mask,3.8125,hidden_target_logit_effect,4,primary,visual_span,0.5,4,2.0,1.0,hidden_lattice
8.375,-6.625,corrupt,27,answer_mask,0.875,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,3.0,1.0,hidden_lattice
-0.375,-7.875,corrupt,27,shifted_mask,-4.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,-2.5,1.0,hidden_lattice
2.125,-1.9375,corrupt,27,shuffled_mask,-0.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
8.375,-5.375,corrupt,27,union_mask,1.5,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,2.75,1.0,hidden_lattice
0.5,0.0,corrupt,27,answer_mask,0.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.0,1.0,hidden_lattice
0.3125,-0.375,corrupt,27,shifted_mask,-0.0625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.25,4,0.0,1.0,hidden_lattice
0.5,-0.0625,corrupt,27,shuffled_mask,0.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.75,4,0.0,1.0,hidden_lattice
0.5,0.0,corrupt,27,union_mask,0.25,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.0,1.0,hidden_lattice
10.625,-6.5,corrupt,27,answer_mask,2.0625,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,4.0,1.0,hidden_lattice
-1.625,-7.875,corrupt,27,shifted_mask,-4.75,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,-2.5,1.0,hidden_lattice
1.9375,-3.4375,corrupt,27,shuffled_mask,-1.125,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,0.0,1.0,hidden_lattice
10.625,-4.5,corrupt,27,union_mask,3.0625,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,3.75,1.0,hidden_lattice
0.625,-0.125,corrupt,27,answer_mask,0.25,hidden_target_logit_effect,4,primary,visual_span,0.5,4,0.5,1.0,hidden_lattice
0.5,-0.625,corrupt,27,shifted_mask,-0.0625,hidden_target_logit_effect,4,primary,visual_span,0.5,4,-0.25,1.0,hidden_lattice
0.125,-0.25,corrupt,27,shuffled_mask,-0.125,hidden_target_logit_effect,4,primary,visual_span,0.25,4,-0.25,1.0,hidden_lattice
0.75,-0.125,corrupt,27,union_mask,0.3125,hidden_target_logit_effect,4,primary,visual_span,0.5,4,0.5,1.0,hidden_lattice
12.5,-6.25,restore,27,answer_mask,3.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,4.25,1.0,hidden_lattice
-1.125,-7.875,restore,27,shifted_mask,-4.5,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,-2.5,1.0,hidden_lattice
2.25,-2.8125,restore,27,shuffled_mask,-0.5625,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
12.5,-4.375,restore,27,union_mask,4.0625,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,4.0,1.0,hidden_lattice
1.0625,-0.375,restore,27,answer_mask,0.1875,hidden_target_logit_effect,4,primary,top_hidden_delta,0.25,4,0.0,1.0,hidden_lattice
-0.375,-0.75,restore,27,shifted_mask,-0.5625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.375,-1.25,restore,27,shuffled_mask,-0.4375,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.0,1.0,hidden_lattice
1.125,-0.3125,restore,27,union_mask,0.3125,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.0,1.0,hidden_lattice
12.75,-6.25,restore,27,answer_mask,3.25,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,4.5,1.0,hidden_lattice
-1.375,-7.75,restore,27,shifted_mask,-4.5625,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,-2.5,1.0,hidden_lattice
2.3125,-3.4375,restore,27,shuffled_mask,-1.0,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,-0.25,1.0,hidden_lattice
12.75,-4.125,restore,27,union_mask,4.3125,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,4.25,1.0,hidden_lattice
2.375,0.125,restore,27,answer_mask,1.25,hidden_target_logit_effect,4,primary,visual_span,0.75,4,1.25,1.0,hidden_lattice
-0.125,-0.875,restore,27,shifted_mask,-0.5,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,-1.75,restore,27,shuffled_mask,-0.875,hidden_target_logit_effect,4,primary,visual_span,0.25,4,0.0,1.0,hidden_lattice
2.375,0.0,restore,27,union_mask,1.1875,hidden_target_logit_effect,4,primary,visual_span,0.75,4,1.25,1.0,hidden_lattice
0.0,-0.1875,corrupt,33,answer_mask,-0.0625,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,0.0,1.0,hidden_lattice
-0.0625,-0.25,corrupt,33,shifted_mask,-0.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,0.0,1.0,hidden_lattice
0.1875,-0.1875,corrupt,33,shuffled_mask,0.0,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
0.0,-0.1875,corrupt,33,union_mask,-0.0625,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,0.0,1.0,hidden_lattice
0.0,-0.1875,corrupt,33,answer_mask,-0.0625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,shifted_mask,0.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,shuffled_mask,0.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,union_mask,0.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.0,-0.1875,corrupt,33,answer_mask,-0.0625,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,0.0,1.0,hidden_lattice
-0.0625,-0.25,corrupt,33,shifted_mask,-0.1875,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,0.0,1.0,hidden_lattice
0.1875,-0.1875,corrupt,33,shuffled_mask,0.0,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,0.0,1.0,hidden_lattice
0.0,-0.1875,corrupt,33,union_mask,-0.0625,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,answer_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,shifted_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,shuffled_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,corrupt,33,union_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.25,0.0625,restore,33,answer_mask,0.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.75,4,-0.25,1.0,hidden_lattice
0.0,-0.25,restore,33,shifted_mask,-0.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.0,4,0.0,1.0,hidden_lattice
0.1875,0.0,restore,33,shuffled_mask,0.0625,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
0.25,0.0,restore,33,union_mask,0.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,-0.25,1.0,hidden_lattice
0.1875,0.0,restore,33,answer_mask,0.0625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.25,4,0.0,1.0,hidden_lattice
0.0,0.0,restore,33,shifted_mask,0.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,restore,33,shuffled_mask,0.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,restore,33,union_mask,0.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.0,1.0,hidden_lattice
0.25,0.0625,restore,33,answer_mask,0.1875,hidden_target_logit_effect,4,primary,visual+answer,0.75,4,-0.25,1.0,hidden_lattice
0.0,-0.25,restore,33,shifted_mask,-0.125,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,0.0,1.0,hidden_lattice
0.1875,0.0,restore,33,shuffled_mask,0.0625,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,0.0,1.0,hidden_lattice
0.25,0.0,restore,33,union_mask,0.125,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,-0.25,1.0,hidden_lattice
0.0,0.0,restore,33,answer_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,restore,33,shifted_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,restore,33,shuffled_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
0.0,0.0,restore,33,union_mask,0.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,0.0,1.0,hidden_lattice
