sample_id,image_filename,width,height,labels,invalid_labels,answer_shape_count,relate_shape_count,answer_area_px,relate_area_px,union_area_px,answer_area_frac,relate_area_frac,union_area_frac,mask_geometry_tier,mask_geometry_warnings,mask_export_status,shifted_mask_iou_with_union,shuffled_mask_iou_with_union,random16_valid_count,mask_dir
okvqa_val_545175,COCO_val2014_000000054517.jpg,640,480,answer|relate,,1,1,184392,48741,219418,0.60023437,0.15866211,0.71425130,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.83912,0.579194,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000054517
okvqa_val_5588545,COCO_val2014_000000558854.jpg,500,375,answer|relate,,1,1,122711,51300,141785,0.65445867,0.27360000,0.75618667,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.792727,0.718741,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000558854
okvqa_val_5686755,COCO_val2014_000000568675.jpg,640,480,answer|relate,,1,1,252765,41796,252765,0.82280273,0.13605469,0.82280273,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.769462,0.786767,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000568675
okvqa_val_606415,COCO_val2014_000000060641.jpg,640,480,answer|relate,,1,1,77602,42496,119855,0.25261068,0.13833333,0.39015299,medium_union,random16_low_valid_count,ok,0.405792,0.296395,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000060641
okvqa_val_619435,COCO_val2014_000000061943.jpg,640,364,answer|answer|relate,,2,1,48270,23010,71280,0.20720295,0.09877232,0.30597527,medium_union,,ok,0.166459,0.0911429,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000061943
okvqa_val_802195,COCO_val2014_000000080219.jpg,640,480,answer|relate,,1,1,28656,96492,120828,0.09328125,0.31410156,0.39332031,medium_union,random16_low_valid_count,ok,0.434024,0.241152,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000080219
okvqa_val_922445,COCO_val2014_000000092244.jpg,640,480,answer|relate,,1,1,71082,51305,122387,0.23138672,0.16700846,0.39839518,medium_union,random16_low_valid_count,ok,0.142107,0.132746,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000092244
okvqa_val_00327,COCO_val2014_000000299493.jpg,640,426,answer|relate,,1,1,125208,12100,136703,0.45924296,0.04438087,0.50140478,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.4068,0.414552,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000299493
okvqa_val_00528,COCO_val2014_000000081361.jpg,406,500,answer|relate,,1,1,107250,16359,123609,0.52832512,0.08058621,0.60891133,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.606397,0.463746,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000081361
okvqa_val_00912,COCO_val2014_000000245481.jpg,640,426,answer|relate,,1,1,37248,30583,67831,0.13661972,0.11217356,0.24879328,medium_union,,ok,0.123579,0.0932373,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000245481
okvqa_val_01162,COCO_val2014_000000443844.jpg,640,429,answer|relate,,1,1,71675,12920,75755,0.26105405,0.04705711,0.27591419,medium_union,,ok,0,0.00621621,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000443844
okvqa_val_01804,COCO_val2014_000000345456.jpg,640,344,answer|relate,,1,1,77182,36764,113946,0.35057231,0.16698765,0.51755996,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.513117,0.479761,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000345456
okvqa_val_01938,COCO_val2014_000000356263.jpg,640,480,answer|answer|relate,,2,1,164146,30396,184624,0.53432943,0.09894531,0.60098958,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.665215,0.542473,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000356263
okvqa_val_02121,COCO_val2014_000000057345.jpg,640,484,answer|relate,,1,1,274512,17892,274512,0.88620868,0.05776085,0.88620868,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.8413,0.851183,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000057345
okvqa_val_02184,COCO_val2014_000000039961.jpg,640,424,answer|relate,,1,1,51510,37446,88956,0.18982164,0.13799381,0.32781545,medium_union,random16_low_valid_count,ok,0.0847036,0.193944,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000039961
okvqa_val_03085,COCO_val2014_000000334566.jpg,640,481,answer|relate,,1,1,57782,17280,75062,0.18770140,0.05613306,0.24383446,medium_union,,ok,0.0856994,0.0905657,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000334566
okvqa_val_03506,COCO_val2014_000000206831.jpg,640,427,answer|relate,,1,1,232988,71939,232988,0.85256148,0.26324283,0.85256148,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.813249,0.815623,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000206831
okvqa_val_03609,COCO_val2014_000000529507.jpg,640,480,answer|relate,,1,1,113082,42180,152754,0.36810547,0.13730469,0.49724609,medium_union,random16_low_valid_count,ok,0.381289,0.457882,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000529507
okvqa_val_03979,COCO_val2014_000000302787.jpg,640,427,answer|relate,,1,1,25384,54858,80242,0.09288642,0.20073917,0.29362559,medium_union,,ok,0.167335,0.0797769,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000302787
okvqa_val_04593,COCO_val2014_000000393145.jpg,640,427,answer|relate,,1,1,141596,24366,165962,0.51813525,0.08916130,0.60729655,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.502632,0.381146,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000393145
okvqa_val_04177,COCO_val2014_000000074135.jpg,640,541,answer|relate,,1,1,78155,61152,128439,0.22572493,0.17661738,0.37095367,medium_union,random16_low_valid_count,ok,0.248593,0.314411,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000074135
okvqa_val_1286755,COCO_val2014_000000128675.jpg,640,480,answer|relate,,1,1,163142,19550,182692,0.53106120,0.06363932,0.59470052,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.862399,0.385757,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000128675
okvqa_val_2357845,COCO_val2014_000000235784.jpg,640,459,answer|relate,,1,1,129653,87462,183011,0.44135689,0.29773284,0.62299496,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.628081,0.555336,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000235784
okvqa_val_355265,COCO_val2014_000000035526.jpg,640,426,answer|relate,,1,1,203082,60573,203082,0.74487236,0.22217210,0.74487236,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.666451,0.702879,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000035526
okvqa_val_4513245,COCO_val2014_000000451324.jpg,640,480,answer|answer|relate,,2,1,131090,26384,157474,0.42672526,0.08588542,0.51261068,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.372412,0.287136,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000451324
okvqa_val_5179385,COCO_val2014_000000517938.jpg,640,428,answer|relate,,1,1,48100,17340,65440,0.17559871,0.06330315,0.23890187,medium_union,,ok,0.0598858,0.0464373,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000517938
okvqa_val_5201095,COCO_val2014_000000520109.jpg,640,426,answer|relate,,1,1,131445,40144,171589,0.48211928,0.14724178,0.62936106,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.435399,0.345042,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000520109
okvqa_val_579175,COCO_val2014_000000057917.jpg,640,471,answer|relate,,1,1,86019,34102,109717,0.28536027,0.11313031,0.36397625,medium_union,random16_low_valid_count,ok,0.0951986,0.124858,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000057917
