layer,top_k,position_group,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,ci95_low,ci95_high,effect_status,mean_rank_effect,mean_gap_closure
12,32,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,6,0,0.029297,0.009766,0.051758,stable_positive,0.0,0.006023
12,32,top_hidden_delta,corrupt,drop_matched_topk,8,3,0,-0.006836,-0.019531,0.003906,not_positive,0.0,-0.001366
12,32,top_hidden_delta,corrupt,evidence_attribution_topk,8,3,1,0.003906,-0.048828,0.058594,weak_or_heterogeneous_positive,0.125,0.001118
12,32,top_hidden_delta,corrupt,random_active_topk,8,3,0,0.000977,-0.008789,0.010742,weak_or_heterogeneous_positive,0.0,-8e-06
12,32,top_hidden_delta,restore,activation_matched_topk,8,1,0,-0.00293,-0.007812,0.003418,not_positive,-0.25,-0.000472
12,32,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,3,0,-0.002441,-0.006348,0.000977,not_positive,-0.125,-0.000569
12,32,top_hidden_delta,restore,drop_matched_topk,8,0,0,-0.007324,-0.013184,-0.002441,not_positive,-0.125,-0.001458
12,32,top_hidden_delta,restore,evidence_attribution_topk,8,4,3,0.005859,-0.010742,0.022949,weak_or_heterogeneous_positive,1.0,0.001231
12,32,top_hidden_delta,restore,random_active_topk,8,3,2,-0.007324,-0.016602,0.000977,not_positive,0.125,-0.001642
12,32,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,4,0,0.003906,-0.025391,0.03125,weak_or_heterogeneous_positive,0.0,0.000961
12,32,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,5,0,0.020508,0.001953,0.041016,stable_positive,0.0,0.004464
12,32,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,1,1,-0.022461,-0.041992,-0.00293,not_positive,0.125,-0.004007
12,32,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,2,1,-0.003906,-0.050781,0.048828,not_positive,0.125,0.000135
12,32,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,3,0,0.0,-0.017578,0.018555,not_positive,0.0,0.000265
12,32,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,2,2,-0.013184,-0.035645,0.004883,not_positive,-0.625,-0.001881
12,32,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,1,1,-0.010254,-0.01709,-0.003418,not_positive,-0.25,-0.001624
12,32,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,1,0,-0.013672,-0.02002,-0.007324,not_positive,-1.375,-0.002713
12,32,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,3,1,-0.032715,-0.087891,0.010254,not_positive,-4.25,-0.004193
12,32,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,1,1,-0.005859,-0.013672,0.002441,not_positive,0.125,-0.000989
12,8,answer_adjacent_text,corrupt,activation_matched_topk,8,5,0,0.009766,-0.001953,0.021484,weak_or_heterogeneous_positive,0.0,0.001979
12,8,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,2,0,-0.001953,-0.006836,0.004883,not_positive,0.0,-0.000138
12,8,answer_adjacent_text,corrupt,drop_matched_topk,8,5,0,0.006836,-0.004883,0.017578,weak_or_heterogeneous_positive,0.0,0.001044
12,8,answer_adjacent_text,corrupt,evidence_attribution_topk,8,4,0,-0.00293,-0.019531,0.011719,not_positive,0.0,-0.000158
12,8,answer_adjacent_text,corrupt,random_active_topk,8,2,0,-0.000977,-0.006836,0.004883,not_positive,0.0,-0.000118
12,8,answer_adjacent_text,restore,activation_matched_topk,8,4,1,0.001953,-0.003906,0.007812,weak_or_heterogeneous_positive,0.0,0.000442
12,8,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,1,1,-0.004883,-0.008789,-0.000488,not_positive,0.0,-0.000784
12,8,answer_adjacent_text,restore,drop_matched_topk,8,4,2,0.002441,-0.009766,0.013184,weak_or_heterogeneous_positive,0.25,6.8e-05
12,8,answer_adjacent_text,restore,evidence_attribution_topk,8,6,3,0.005859,-0.003418,0.012207,weak_or_heterogeneous_positive,1.375,0.00074
12,8,answer_adjacent_text,restore,random_active_topk,8,4,0,0.001953,-0.001465,0.004883,weak_or_heterogeneous_positive,0.0,0.000423
12,8,top_hidden_delta,corrupt,activation_matched_topk,8,2,0,-0.006836,-0.018555,0.003906,not_positive,0.0,-0.001419
12,8,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,4,0,-0.001953,-0.008789,0.004883,not_positive,0.0,-0.000299
12,8,top_hidden_delta,corrupt,drop_matched_topk,8,5,0,0.00293,-0.014648,0.019531,weak_or_heterogeneous_positive,0.0,0.000908
12,8,top_hidden_delta,corrupt,evidence_attribution_topk,8,3,0,0.0,-0.03418,0.037109,not_positive,0.0,0.001047
12,8,top_hidden_delta,corrupt,random_active_topk,8,1,0,-0.006836,-0.015625,0.001953,not_positive,0.0,-0.001177
12,8,top_hidden_delta,restore,activation_matched_topk,8,0,0,-0.010742,-0.017578,-0.005371,not_positive,-0.125,-0.001826
12,8,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,2,0,0.0,-0.003418,0.004395,not_positive,0.0,-0.000119
12,8,top_hidden_delta,restore,drop_matched_topk,8,2,0,-0.002441,-0.007324,0.002441,not_positive,0.0,-0.000397
12,8,top_hidden_delta,restore,evidence_attribution_topk,8,4,1,0.000488,-0.007324,0.008301,weak_or_heterogeneous_positive,0.0,-2.1e-05
12,8,top_hidden_delta,restore,random_active_topk,8,3,0,-0.001465,-0.004883,0.001953,not_positive,0.0,-0.000362
12,8,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,3,0,-0.013672,-0.046875,0.024414,not_positive,-0.125,-0.002294
12,8,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,2,0,-0.00293,-0.009766,0.003906,not_positive,0.0,-0.000367
12,8,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,5,0,0.000977,-0.015625,0.014648,weak_or_heterogeneous_positive,0.0,0.000652
12,8,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,4,0,-0.005859,-0.05957,0.045898,not_positive,0.0,0.000812
12,8,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,4,0,0.013672,-0.001953,0.038086,weak_or_heterogeneous_positive,0.0,0.002689
12,8,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,2,2,-0.003418,-0.021484,0.016113,not_positive,-0.625,-0.00053
12,8,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,2,2,0.000488,-0.001953,0.00293,weak_or_heterogeneous_positive,0.25,0.00012
12,8,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,5,1,0.001953,-0.00293,0.005859,weak_or_heterogeneous_positive,-0.125,0.000475
12,8,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,3,0,-0.020508,-0.054688,0.007324,not_positive,-2.5,-0.002473
12,8,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,2,0,-0.001953,-0.006348,0.002441,not_positive,0.0,-0.000322
15,1,answer_adjacent_text,corrupt,activation_matched_topk,8,4,0,0.005859,-0.000977,0.013672,weak_or_heterogeneous_positive,0.0,0.000755
15,1,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,3,0,0.001953,-0.00293,0.006836,weak_or_heterogeneous_positive,0.0,0.000421
15,1,answer_adjacent_text,corrupt,drop_matched_topk,8,4,0,-0.000977,-0.009766,0.006836,not_positive,0.0,-0.000393
15,1,answer_adjacent_text,corrupt,evidence_attribution_topk,8,1,0,-0.009766,-0.024414,0.004883,not_positive,0.0,-0.001534
15,1,answer_adjacent_text,corrupt,random_active_topk,8,2,0,0.0,-0.003906,0.003906,not_positive,0.0,6e-05
15,1,answer_adjacent_text,restore,activation_matched_topk,8,2,0,-0.001465,-0.004883,0.001953,not_positive,-0.125,-0.000249
15,1,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,4,0,0.001953,-0.000488,0.004395,weak_or_heterogeneous_positive,0.0,0.000309
15,1,answer_adjacent_text,restore,drop_matched_topk,8,4,1,0.000977,-0.004883,0.006348,weak_or_heterogeneous_positive,0.25,0.000108
15,1,answer_adjacent_text,restore,evidence_attribution_topk,8,4,2,-0.001953,-0.012207,0.006836,not_positive,0.5,-0.000615
15,1,answer_adjacent_text,restore,random_active_topk,8,2,0,-0.000488,-0.004395,0.003906,not_positive,0.0,-8.3e-05
15,1,top_hidden_delta,corrupt,activation_matched_topk,8,2,0,-0.018555,-0.036133,-0.001953,not_positive,0.0,-0.004119
15,1,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,2,0,-0.000977,-0.004883,0.00293,not_positive,0.0,-6.5e-05
15,1,top_hidden_delta,corrupt,drop_matched_topk,8,5,0,0.000977,-0.013672,0.010742,weak_or_heterogeneous_positive,0.0,-0.000429
15,1,top_hidden_delta,corrupt,evidence_attribution_topk,8,2,0,-0.008789,-0.022461,0.004883,not_positive,0.0,-0.002125
15,1,top_hidden_delta,corrupt,random_active_topk,8,2,0,0.000977,-0.001953,0.003906,weak_or_heterogeneous_positive,0.0,0.000223
15,1,top_hidden_delta,restore,activation_matched_topk,8,3,0,0.002441,0.000488,0.004883,stable_positive,0.0,0.000434
15,1,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,1,0,0.000977,-0.001465,0.004395,weak_or_heterogeneous_positive,0.0,0.000192
15,1,top_hidden_delta,restore,drop_matched_topk,8,2,0,0.000977,-0.000977,0.003418,weak_or_heterogeneous_positive,0.0,0.000189
15,1,top_hidden_delta,restore,evidence_attribution_topk,8,1,1,-0.000977,-0.003418,0.001953,not_positive,0.125,-0.000178
15,1,top_hidden_delta,restore,random_active_topk,8,1,0,0.0,-0.001465,0.001465,not_positive,0.0,3.1e-05
15,1,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,0,0,-0.027344,-0.040039,-0.015625,not_positive,0.0,-0.00547
15,1,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,4,0,0.00293,-0.00293,0.007812,weak_or_heterogeneous_positive,0.0,0.000622
15,1,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,4,0,-0.013672,-0.042969,0.009766,not_positive,0.0,-0.003296
15,1,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,3,0,-0.003906,-0.016602,0.008789,not_positive,0.0,-0.00099
15,1,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,4,0,0.003906,-0.000977,0.008789,weak_or_heterogeneous_positive,0.0,0.000742
15,1,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,4,0,-0.000977,-0.007812,0.005371,not_positive,0.0,-0.00042
15,1,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,4,0,0.001953,-0.000977,0.005371,weak_or_heterogeneous_positive,0.0,0.000323
15,1,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,3,2,-0.000488,-0.008301,0.006836,not_positive,0.5,-0.000518
15,1,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,2,1,-0.000488,-0.003418,0.00293,not_positive,0.125,-0.000108
15,1,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,2,0,0.001465,-0.000977,0.004883,weak_or_heterogeneous_positive,0.0,0.000197
15,32,answer_adjacent_text,corrupt,activation_matched_topk,8,4,0,0.008789,-0.017578,0.038086,weak_or_heterogeneous_positive,0.0,0.001541
15,32,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,4,0,0.00293,-0.016602,0.024414,weak_or_heterogeneous_positive,0.0,3.3e-05
15,32,answer_adjacent_text,corrupt,drop_matched_topk,8,2,0,-0.027344,-0.081055,0.024414,not_positive,-0.125,-0.003728
15,32,answer_adjacent_text,corrupt,evidence_attribution_topk,8,4,2,0.010742,-0.013672,0.036133,weak_or_heterogeneous_positive,0.25,0.002324
15,32,answer_adjacent_text,corrupt,random_active_topk,8,5,0,0.015625,0.001953,0.030273,stable_positive,0.0,0.002608
15,32,answer_adjacent_text,restore,activation_matched_topk,8,1,2,-0.005859,-0.014648,0.000977,not_positive,0.0,-0.001168
15,32,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,4,1,-0.000977,-0.01416,0.013184,not_positive,0.0,-0.000157
15,32,answer_adjacent_text,restore,drop_matched_topk,8,2,3,-0.03418,-0.09375,0.016602,not_positive,-2.375,-0.004822
15,32,answer_adjacent_text,restore,evidence_attribution_topk,8,7,5,0.044434,0.01123,0.077637,stable_positive,3.5,0.007151
15,32,answer_adjacent_text,restore,random_active_topk,8,5,2,0.007324,-0.003418,0.016602,weak_or_heterogeneous_positive,-0.125,0.001324
15,32,top_hidden_delta,corrupt,activation_matched_topk,8,4,1,0.046875,-0.025391,0.135742,weak_or_heterogeneous_positive,0.0,0.007608
15,32,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,5,0,0.008789,-0.001953,0.021484,weak_or_heterogeneous_positive,0.0,0.002048
15,32,top_hidden_delta,corrupt,drop_matched_topk,8,3,2,-0.045898,-0.113281,0.018555,not_positive,0.125,-0.007535
15,32,top_hidden_delta,corrupt,evidence_attribution_topk,8,5,2,0.052734,-0.057617,0.155273,weak_or_heterogeneous_positive,0.375,0.006852
15,32,top_hidden_delta,corrupt,random_active_topk,8,4,0,0.001953,-0.037109,0.03418,weak_or_heterogeneous_positive,0.0,-0.000917
15,32,top_hidden_delta,restore,activation_matched_topk,8,4,0,0.001465,-0.000488,0.003418,weak_or_heterogeneous_positive,-0.125,0.000237
15,32,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,2,0,0.001465,-0.000977,0.004395,weak_or_heterogeneous_positive,0.0,0.000266
15,32,top_hidden_delta,restore,drop_matched_topk,8,3,3,0.0,-0.005371,0.005371,not_positive,0.625,0.000151
15,32,top_hidden_delta,restore,evidence_attribution_topk,8,3,2,-0.007324,-0.033203,0.021484,not_positive,1.0,-0.002299
15,32,top_hidden_delta,restore,random_active_topk,8,2,0,0.0,-0.002441,0.00293,not_positive,-0.125,0.000121
15,32,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,3,1,0.020508,-0.041016,0.095703,weak_or_heterogeneous_positive,0.0,0.002942
15,32,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,7,0,0.048828,0.027344,0.070312,stable_positive,-0.125,0.008858
15,32,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,3,1,-0.02832,-0.086914,0.02832,not_positive,0.0,-0.004309
15,32,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,5,2,0.068359,-0.041016,0.171875,weak_or_heterogeneous_positive,0.375,0.009701
15,32,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,6,1,0.057617,-0.00293,0.144531,weak_or_heterogeneous_positive,0.25,0.014872
15,32,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,3,3,0.010742,-0.011719,0.038086,weak_or_heterogeneous_positive,1.625,0.001091
15,32,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,7,4,0.023926,0.009766,0.044434,stable_positive,2.125,0.003723
15,32,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,4,2,0.00293,-0.017578,0.022949,weak_or_heterogeneous_positive,1.125,-0.000152
15,32,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,3,1,-0.012695,-0.040039,0.018555,not_positive,0.125,-0.003174
15,32,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,3,1,-0.008301,-0.019043,0.002441,not_positive,-0.25,-0.00164
15,8,answer_adjacent_text,corrupt,activation_matched_topk,8,3,0,-0.001953,-0.011719,0.007812,not_positive,0.0,-0.000195
15,8,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,1,0,-0.00293,-0.007812,0.001953,not_positive,0.0,-0.000601
15,8,answer_adjacent_text,corrupt,drop_matched_topk,8,3,0,-0.003906,-0.025391,0.022461,not_positive,0.0,-0.000308
15,8,answer_adjacent_text,corrupt,evidence_attribution_topk,8,4,0,-0.001953,-0.020508,0.016602,not_positive,0.0,-0.000457
15,8,answer_adjacent_text,corrupt,random_active_topk,8,5,0,0.006836,-0.003906,0.014648,weak_or_heterogeneous_positive,0.0,0.001203
15,8,answer_adjacent_text,restore,activation_matched_topk,8,4,1,-0.010254,-0.026855,0.003906,not_positive,-1.25,-0.001412
15,8,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,2,0,0.000977,-0.004395,0.006836,weak_or_heterogeneous_positive,-0.125,0.000181
15,8,answer_adjacent_text,restore,drop_matched_topk,8,3,3,-0.009277,-0.049316,0.020508,not_positive,-0.875,-0.001142
15,8,answer_adjacent_text,restore,evidence_attribution_topk,8,5,3,0.02002,0.00293,0.040527,stable_positive,2.25,0.002863
15,8,answer_adjacent_text,restore,random_active_topk,8,4,0,0.00293,-0.001465,0.007812,weak_or_heterogeneous_positive,-0.125,0.000356
15,8,top_hidden_delta,corrupt,activation_matched_topk,8,3,1,-0.011719,-0.050781,0.023438,not_positive,0.125,-0.001079
15,8,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,3,0,0.000977,-0.007812,0.009766,weak_or_heterogeneous_positive,0.0,0.000493
15,8,top_hidden_delta,corrupt,drop_matched_topk,8,3,0,0.055664,-0.03125,0.160156,weak_or_heterogeneous_positive,0.0,0.01225
15,8,top_hidden_delta,corrupt,evidence_attribution_topk,8,3,1,-0.000977,-0.023438,0.024414,not_positive,0.125,-0.001504
15,8,top_hidden_delta,corrupt,random_active_topk,8,2,0,0.0,-0.011719,0.015625,not_positive,0.0,0.000586
15,8,top_hidden_delta,restore,activation_matched_topk,8,2,0,-0.003906,-0.009766,0.000977,not_positive,-0.125,-0.000688
15,8,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,1,0,0.000977,-0.001465,0.004395,weak_or_heterogeneous_positive,0.0,0.000183
15,8,top_hidden_delta,restore,drop_matched_topk,8,1,0,-0.002441,-0.006348,0.001465,not_positive,0.0,-0.000456
15,8,top_hidden_delta,restore,evidence_attribution_topk,8,6,1,0.001953,-0.003418,0.005859,weak_or_heterogeneous_positive,0.125,6.8e-05
15,8,top_hidden_delta,restore,random_active_topk,8,1,0,0.000488,-0.001465,0.00293,weak_or_heterogeneous_positive,-0.125,0.00012
15,8,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,3,1,-0.015625,-0.052734,0.022461,not_positive,0.125,-0.002307
15,8,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,5,0,0.016602,0.000977,0.032227,stable_positive,0.0,0.003185
15,8,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,4,0,0.058594,-0.02832,0.158203,weak_or_heterogeneous_positive,0.0,0.012102
15,8,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,4,1,0.003906,-0.018555,0.02832,weak_or_heterogeneous_positive,0.125,-0.000512
15,8,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,6,0,0.005859,-0.003906,0.015625,weak_or_heterogeneous_positive,0.0,0.001376
15,8,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,3,1,-0.00293,-0.015625,0.010742,not_positive,-0.25,-0.000551
15,8,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,4,2,0.010742,-0.000488,0.022461,weak_or_heterogeneous_positive,0.875,0.001514
15,8,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,2,0,-0.01123,-0.021973,0.0,not_positive,-0.875,-0.002051
15,8,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,3,1,-0.00293,-0.012695,0.005859,not_positive,0.0,-0.000886
15,8,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,5,0,-0.002441,-0.010254,0.004883,not_positive,-0.125,-0.000291
18,1,answer_adjacent_text,corrupt,activation_matched_topk,8,1,0,-0.00293,-0.007812,0.001953,not_positive,0.0,-0.00054
18,1,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,3,0,0.0,-0.005859,0.004883,not_positive,0.0,0.000112
18,1,answer_adjacent_text,corrupt,drop_matched_topk,8,5,0,0.011719,-0.000977,0.025391,weak_or_heterogeneous_positive,0.0,0.002323
18,1,answer_adjacent_text,corrupt,evidence_attribution_topk,8,1,0,-0.009766,-0.019531,0.000977,not_positive,0.0,-0.001732
18,1,answer_adjacent_text,corrupt,random_active_topk,8,1,0,-0.00293,-0.006836,0.000977,not_positive,0.0,-0.000569
18,1,answer_adjacent_text,restore,activation_matched_topk,8,1,2,-0.000488,-0.004883,0.004883,not_positive,0.125,-4.7e-05
18,1,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,1,0,-0.000488,-0.003418,0.002441,not_positive,-0.125,-3.6e-05
18,1,answer_adjacent_text,restore,drop_matched_topk,8,4,1,0.005371,-0.00293,0.013672,weak_or_heterogeneous_positive,0.75,0.001016
