source_pack,model_family,mask_condition,direction,group_name,group_kind,n_rows,n_samples,mean_effect_logit,ci95_low,ci95_high,effect_status,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,mean_clean_mask_logit_gap
stage2n_heldout,llava,answer_mask,restore,low_delta_control,control,56,28,0.027588,0.003104,0.061907,stable_positive,32,6.017857,8,0.011812,2.556815
stage2n_heldout,llava,answer_mask,restore,random_control_1,random_control,56,28,0.372524,0.158691,0.645543,stable_positive,40,24.285714,28,0.090064,2.556815
stage2n_heldout,llava,answer_mask,restore,random_control_2,random_control,56,28,0.365374,0.18185,0.579276,stable_positive,42,33.553571,28,0.118243,2.556815
stage2n_heldout,llava,answer_mask,restore,random_control_3,random_control,56,28,0.377686,0.149205,0.663679,stable_positive,37,14.964286,24,0.069846,2.556815
stage2n_heldout,llava,answer_mask,restore,random_control_4,random_control,56,28,0.37514,0.16748,0.644671,stable_positive,41,33.410714,26,0.11083,2.556815
stage2n_heldout,llava,answer_mask,restore,top_hidden_delta,source_like,56,28,0.666051,0.382464,1.014369,stable_positive,44,68.892857,34,0.177073,2.556815
stage2n_heldout,llava,answer_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,1.505301,1.129743,1.894148,stable_positive,56,113.892857,49,0.584087,2.556815
stage2n_heldout,llava,answer_mask,restore,whole_bucket,upper_bound,56,28,1.205636,0.812151,1.650321,stable_positive,48,102.410714,43,0.392045,2.556815
stage2n_heldout,llava,union_mask,corrupt,activation_matched_control,matched_control,56,28,-0.025356,-0.05392,-0.00293,not_positive,21,0.589286,7,-0.0275,2.463902
stage2n_heldout,llava,union_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.677455,0.508545,0.845075,stable_positive,51,5.982143,36,1.568943,2.463902
stage2n_heldout,llava,union_mask,corrupt,answer_adjacent_text,bridge_text,56,28,0.695278,0.534703,0.861816,stable_positive,52,5.982143,37,1.561752,2.463902
stage2n_heldout,llava,union_mask,corrupt,delta_matched_control,matched_control,56,28,0.095564,0.02281,0.182547,stable_positive,32,3.214286,16,-0.062172,2.463902
stage2n_heldout,llava,union_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.763009,0.575997,0.965088,stable_positive,50,7.446429,39,1.436839,2.463902
stage2n_heldout,llava,union_mask,corrupt,evidence_region,source_like,56,28,0.174874,0.035505,0.340681,stable_positive,34,-0.982143,12,0.151295,2.463902
stage2n_heldout,llava,union_mask,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,56,28,0.825858,0.608573,1.064802,stable_positive,51,4.660714,35,1.557095,2.463902
stage2n_heldout,llava,union_mask,corrupt,low_delta_control,control,56,28,0.007394,0.001953,0.013811,stable_positive,26,1.339286,2,-0.031985,2.463902
stage2n_heldout,llava,union_mask,corrupt,random_control_1,random_control,56,28,0.013811,-0.021275,0.058594,weak_or_heterogeneous_positive,28,0.017857,10,-0.090608,2.463902
stage2n_heldout,llava,union_mask,corrupt,random_control_2,random_control,56,28,0.025739,0.003836,0.051828,stable_positive,29,2.446429,13,0.047341,2.463902
stage2n_heldout,llava,union_mask,corrupt,random_control_3,random_control,56,28,0.01001,-0.014858,0.034842,weak_or_heterogeneous_positive,30,1.607143,12,0.002377,2.463902
stage2n_heldout,llava,union_mask,corrupt,random_control_4,random_control,56,28,0.007289,-0.017264,0.033064,weak_or_heterogeneous_positive,25,0.428571,11,-0.474996,2.463902
stage2n_heldout,llava,union_mask,corrupt,top_hidden_delta,source_like,56,28,0.112165,0.038644,0.206264,stable_positive,35,6.0,15,0.589098,2.463902
stage2n_heldout,llava,union_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,0.795759,0.615583,0.965088,stable_positive,51,9.392857,41,2.183955,2.463902
stage2n_heldout,llava,union_mask,corrupt,whole_bucket,upper_bound,56,28,1.236328,0.835868,1.677734,stable_positive,43,51.607143,37,-0.248038,2.463902
stage2n_heldout,llava,union_mask,restore,activation_matched_control,matched_control,56,28,0.221749,0.045201,0.441546,stable_positive,41,10.803571,21,0.064443,2.463902
stage2n_heldout,llava,union_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.945905,0.692836,1.231097,stable_positive,44,32.642857,40,1.168469,2.463902
stage2n_heldout,llava,union_mask,restore,answer_adjacent_text,bridge_text,56,28,0.668701,0.501395,0.8351,stable_positive,50,20.464286,43,1.101756,2.463902
stage2n_heldout,llava,union_mask,restore,delta_matched_control,matched_control,56,28,0.654332,0.37507,0.985456,stable_positive,46,40.875,34,-0.230371,2.463902
stage2n_heldout,llava,union_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,1.519461,1.161133,1.905483,stable_positive,54,76.196429,47,1.05943,2.463902
stage2n_heldout,llava,union_mask,restore,evidence_region,source_like,56,28,0.474609,0.301862,0.686663,stable_positive,43,14.75,32,-0.030258,2.463902
stage2n_heldout,llava,union_mask,restore,evidence_region_plus_answer_adjacent,bridge_combo,56,28,1.263079,0.968506,1.589739,stable_positive,54,24.267857,44,1.367996,2.463902
stage2n_heldout,llava,union_mask,restore,low_delta_control,control,56,28,0.019531,-0.010568,0.051583,weak_or_heterogeneous_positive,29,3.428571,13,0.020731,2.463902
stage2n_heldout,llava,union_mask,restore,random_control_1,random_control,56,28,0.341832,0.160575,0.5851,stable_positive,43,15.803571,28,0.040518,2.463902
stage2n_heldout,llava,union_mask,restore,random_control_2,random_control,56,28,0.426758,0.197789,0.739432,stable_positive,42,22.321429,28,0.222622,2.463902
stage2n_heldout,llava,union_mask,restore,random_control_3,random_control,56,28,0.315465,0.152239,0.527972,stable_positive,41,19.642857,27,0.06997,2.463902
stage2n_heldout,llava,union_mask,restore,random_control_4,random_control,56,28,0.441999,0.247907,0.684256,stable_positive,45,22.517857,32,-0.195302,2.463902
stage2n_heldout,llava,union_mask,restore,top_hidden_delta,source_like,56,28,0.416783,0.196394,0.694057,stable_positive,41,15.553571,30,0.000761,2.463902
stage2n_heldout,llava,union_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,1.216239,0.946429,1.522391,stable_positive,53,48.125,49,1.285137,2.463902
stage2n_heldout,llava,union_mask,restore,whole_bucket,upper_bound,56,28,1.146449,0.792794,1.560128,stable_positive,45,63.964286,38,-0.464123,2.463902
stage2n_heldout,qwen,answer_mask,corrupt,activation_matched_control,matched_control,56,28,0.005022,-0.013951,0.026228,weak_or_heterogeneous_positive,10,-1.142857,3,-0.015927,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.602679,2.699777,4.5,stable_positive,50,27.928571,36,0.615623,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,answer_adjacent_text,bridge_text,56,28,3.567522,2.672433,4.461496,stable_positive,49,27.5,36,0.629704,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,delta_matched_control,matched_control,56,28,0.020089,-0.003906,0.046875,weak_or_heterogeneous_positive,15,-1.428571,1,0.000223,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.582031,2.675223,4.47154,stable_positive,49,27.178571,36,0.602421,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,low_delta_control,control,56,28,0.010045,0.001116,0.020647,stable_positive,8,2.142857,4,0.024048,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,random_control_1,random_control,56,28,-0.002232,-0.022879,0.017857,not_positive,11,-0.178571,3,-0.012825,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,random_control_2,random_control,56,28,-0.000558,-0.017857,0.017299,not_positive,7,0.392857,4,0.015431,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,random_control_3,random_control,56,28,0.020647,0.002232,0.040737,stable_positive,12,0.589286,6,0.017905,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,random_control_4,random_control,56,28,0.0,-0.013951,0.014509,not_positive,10,1.142857,4,0.02862,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,top_hidden_delta,source_like,56,28,0.007812,-0.012277,0.027902,weak_or_heterogeneous_positive,14,0.553571,4,0.000415,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,3.606585,2.699777,4.498884,stable_positive,49,29.589286,37,0.6524,5.018694
stage2n_heldout,qwen,answer_mask,corrupt,whole_bucket,upper_bound,56,28,0.106027,0.037946,0.177455,stable_positive,26,-1.607143,8,0.006767,5.018694
stage2n_heldout,qwen,answer_mask,restore,activation_matched_control,matched_control,56,28,0.145926,0.064174,0.23577,stable_positive,20,165.375,22,-0.013771,5.018694
stage2n_heldout,qwen,answer_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,4.172712,2.982143,5.301897,stable_positive,49,523.482143,47,0.55146,5.018694
stage2n_heldout,qwen,answer_mask,restore,answer_adjacent_text,bridge_text,56,28,4.027623,2.8524,5.145089,stable_positive,50,522.839286,47,0.551595,5.018694
stage2n_heldout,qwen,answer_mask,restore,delta_matched_control,matched_control,56,28,0.09654,0.040179,0.166853,stable_positive,24,131.732143,24,-0.003444,5.018694
stage2n_heldout,qwen,answer_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,4.234096,3.10519,5.304967,stable_positive,47,520.839286,47,0.620467,5.018694
stage2n_heldout,qwen,answer_mask,restore,low_delta_control,control,56,28,0.000558,-0.007254,0.008092,weak_or_heterogeneous_positive,8,-4.553571,11,0.007207,5.018694
stage2n_heldout,qwen,answer_mask,restore,random_control_1,random_control,56,28,0.088449,0.023996,0.162109,stable_positive,20,95.285714,21,-0.004899,5.018694
stage2n_heldout,qwen,answer_mask,restore,random_control_2,random_control,56,28,0.057199,0.013393,0.111328,stable_positive,16,33.285714,18,0.017146,5.018694
stage2n_heldout,qwen,answer_mask,restore,random_control_3,random_control,56,28,0.104353,0.03683,0.182199,stable_positive,23,57.964286,20,-0.002041,5.018694
stage2n_heldout,qwen,answer_mask,restore,random_control_4,random_control,56,28,0.078404,0.028181,0.140067,stable_positive,24,43.982143,24,0.01959,5.018694
stage2n_heldout,qwen,answer_mask,restore,top_hidden_delta,source_like,56,28,0.109375,0.043806,0.191685,stable_positive,24,116.285714,23,0.013725,5.018694
stage2n_heldout,qwen,answer_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,4.149833,2.955078,5.297433,stable_positive,47,525.321429,48,0.573574,5.018694
stage2n_heldout,qwen,answer_mask,restore,whole_bucket,upper_bound,56,28,0.337054,0.18192,0.493304,stable_positive,33,242.446429,28,0.001354,5.018694
stage2n_heldout,qwen,union_mask,corrupt,activation_matched_control,matched_control,56,28,0.00279,-0.012835,0.017857,weak_or_heterogeneous_positive,10,-0.714286,2,-0.022772,4.754743
stage2n_heldout,qwen,union_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.223214,2.393415,4.114955,stable_positive,46,17.767857,39,0.620613,4.754743
stage2n_heldout,qwen,union_mask,corrupt,answer_adjacent_text,bridge_text,56,28,3.204241,2.377232,4.08817,stable_positive,46,17.75,39,0.625888,4.754743
stage2n_heldout,qwen,union_mask,corrupt,delta_matched_control,matched_control,56,28,-0.00279,-0.023438,0.014509,not_positive,14,-0.785714,2,-0.024457,4.754743
stage2n_heldout,qwen,union_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.217076,2.391183,4.108817,stable_positive,46,19.017857,40,0.652888,4.754743
stage2n_heldout,qwen,union_mask,corrupt,low_delta_control,control,56,28,0.007254,-0.006138,0.020647,weak_or_heterogeneous_positive,10,1.089286,5,0.002044,4.754743
stage2n_heldout,qwen,union_mask,corrupt,random_control_1,random_control,56,28,0.00558,-0.010045,0.021205,weak_or_heterogeneous_positive,11,0.035714,6,0.00772,4.754743
stage2n_heldout,qwen,union_mask,corrupt,random_control_2,random_control,56,28,0.008371,-0.010045,0.026786,weak_or_heterogeneous_positive,13,1.0,5,0.003185,4.754743
stage2n_heldout,qwen,union_mask,corrupt,random_control_3,random_control,56,28,0.000558,-0.011719,0.012835,weak_or_heterogeneous_positive,7,0.696429,4,0.007031,4.754743
stage2n_heldout,qwen,union_mask,corrupt,random_control_4,random_control,56,28,0.008371,-0.007812,0.025112,weak_or_heterogeneous_positive,11,1.107143,3,0.000563,4.754743
stage2n_heldout,qwen,union_mask,corrupt,top_hidden_delta,source_like,56,28,0.020089,-0.003348,0.044085,weak_or_heterogeneous_positive,20,3.642857,7,0.033355,4.754743
stage2n_heldout,qwen,union_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,3.232701,2.401228,4.127232,stable_positive,46,21.410714,42,0.642706,4.754743
stage2n_heldout,qwen,union_mask,corrupt,whole_bucket,upper_bound,56,28,0.082031,0.019531,0.145089,stable_positive,28,0.732143,10,-0.02371,4.754743
stage2n_heldout,qwen,union_mask,restore,activation_matched_control,matched_control,56,28,0.096819,0.039342,0.155134,stable_positive,21,0.625,18,-0.009248,4.754743
stage2n_heldout,qwen,union_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.89202,2.934152,4.870257,stable_positive,48,275.589286,49,0.90272,4.754743
stage2n_heldout,qwen,union_mask,restore,answer_adjacent_text,bridge_text,56,28,3.712891,2.73856,4.71875,stable_positive,47,275.071429,49,0.899006,4.754743
stage2n_heldout,qwen,union_mask,restore,delta_matched_control,matched_control,56,28,0.042132,0.010603,0.078125,stable_positive,25,0.571429,19,-0.016882,4.754743
stage2n_heldout,qwen,union_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.779855,2.784598,4.794922,stable_positive,47,274.446429,49,0.880256,4.754743
stage2n_heldout,qwen,union_mask,restore,low_delta_control,control,56,28,0.013672,-0.005859,0.038225,weak_or_heterogeneous_positive,10,-2.892857,14,-0.013301,4.754743
stage2n_heldout,qwen,union_mask,restore,random_control_1,random_control,56,28,0.065848,0.012835,0.13058,stable_positive,16,10.821429,21,0.000155,4.754743
stage2n_heldout,qwen,union_mask,restore,random_control_2,random_control,56,28,0.061663,0.016183,0.115513,stable_positive,22,11.767857,21,-0.016188,4.754743
stage2n_heldout,qwen,union_mask,restore,random_control_3,random_control,56,28,0.033761,0.008092,0.063895,stable_positive,20,6.446429,24,0.007263,4.754743
stage2n_heldout,qwen,union_mask,restore,random_control_4,random_control,56,28,0.058594,0.020647,0.103237,stable_positive,22,11.125,24,-0.008149,4.754743
stage2n_heldout,qwen,union_mask,restore,top_hidden_delta,source_like,56,28,0.121931,0.039342,0.222098,stable_positive,23,-4.428571,23,-0.026829,4.754743
stage2n_heldout,qwen,union_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,3.885324,2.927176,4.886719,stable_positive,47,279.089286,50,0.911006,4.754743
stage2n_heldout,qwen,union_mask,restore,whole_bucket,upper_bound,56,28,0.289342,0.15625,0.429129,stable_positive,33,36.714286,30,-0.092232,4.754743
