model_family,mask_condition,position_group,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,ci95_low,ci95_high,effect_status,mean_rank_effect,mean_gap_closure
llava,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,4,1,0.003906,-0.018555,0.02832,weak_or_heterogeneous_positive,0.125,-0.000512
llava,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,6,0,0.005859,-0.003906,0.015625,weak_or_heterogeneous_positive,0.0,0.001376
llava,union_mask,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,3,1,-0.00293,-0.015625,0.010742,not_positive,-0.25,-0.000551
llava,union_mask,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,4,2,0.010742,-0.000488,0.022461,weak_or_heterogeneous_positive,0.875,0.001514
llava,union_mask,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,2,0,-0.01123,-0.021973,0.0,not_positive,-0.875,-0.002051
llava,union_mask,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,3,1,-0.00293,-0.012695,0.005859,not_positive,0.0,-0.000886
llava,union_mask,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,5,0,-0.002441,-0.010254,0.004883,not_positive,-0.125,-0.000291
qwen,union_mask,answer_adjacent_text,corrupt,activation_matched_topk,12,7,0,0.026042,-0.09375,0.119792,weak_or_heterogeneous_positive,0.0,0.000888
qwen,union_mask,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,12,3,0,-0.177083,-0.307292,-0.046875,not_positive,-0.083333,-0.017776
qwen,union_mask,answer_adjacent_text,corrupt,drop_matched_topk,12,8,1,0.119792,-0.026042,0.255208,weak_or_heterogeneous_positive,0.083333,0.012241
qwen,union_mask,answer_adjacent_text,corrupt,evidence_attribution_topk,12,12,4,1.317708,0.838542,1.895833,stable_positive,1.416667,0.142189
qwen,union_mask,answer_adjacent_text,corrupt,random_active_topk,12,5,0,0.041667,-0.078125,0.192708,weak_or_heterogeneous_positive,0.0,0.00364
qwen,union_mask,answer_adjacent_text,restore,activation_matched_topk,12,9,8,0.010417,-0.119792,0.122396,weak_or_heterogeneous_positive,20.25,0.000244
qwen,union_mask,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,12,1,0,-0.338542,-0.505208,-0.174479,not_positive,-112.25,-0.032018
qwen,union_mask,answer_adjacent_text,restore,drop_matched_topk,12,6,8,0.177083,-0.005208,0.361979,weak_or_heterogeneous_positive,41.25,0.021077
qwen,union_mask,answer_adjacent_text,restore,evidence_attribution_topk,12,12,12,2.171875,1.523438,2.989583,stable_positive,207.75,0.22128
qwen,union_mask,answer_adjacent_text,restore,random_active_topk,12,5,8,0.041667,-0.023438,0.122396,weak_or_heterogeneous_positive,-1.916667,0.004119
qwen,union_mask,top_hidden_delta,corrupt,activation_matched_topk,12,4,0,0.036458,0.010417,0.067708,stable_positive,0.0,0.002951
qwen,union_mask,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,12,3,0,0.026042,0.0,0.057292,weak_or_heterogeneous_positive,0.0,0.002277
qwen,union_mask,top_hidden_delta,corrupt,drop_matched_topk,12,3,0,0.015625,-0.020833,0.052083,weak_or_heterogeneous_positive,0.0,0.001135
qwen,union_mask,top_hidden_delta,corrupt,evidence_attribution_topk,12,3,0,0.015625,-0.010417,0.041667,weak_or_heterogeneous_positive,0.0,0.001651
qwen,union_mask,top_hidden_delta,corrupt,random_active_topk,12,2,0,0.010417,-0.010417,0.036458,weak_or_heterogeneous_positive,0.0,0.000724
qwen,union_mask,top_hidden_delta,restore,activation_matched_topk,12,3,4,-0.005208,-0.026042,0.015625,not_positive,-0.916667,-0.00038
qwen,union_mask,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,12,2,2,-0.005208,-0.023438,0.013021,not_positive,-1.583333,-0.000379
qwen,union_mask,top_hidden_delta,restore,drop_matched_topk,12,0,5,-0.013021,-0.028646,0.0,not_positive,1.0,-0.001261
qwen,union_mask,top_hidden_delta,restore,evidence_attribution_topk,12,4,4,0.005208,-0.015625,0.023438,weak_or_heterogeneous_positive,2.25,0.000224
qwen,union_mask,top_hidden_delta,restore,random_active_topk,12,2,5,-0.002604,-0.020833,0.015625,not_positive,-0.333333,-9.4e-05
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,12,6,0,0.072917,-0.005208,0.161458,weak_or_heterogeneous_positive,0.0,0.007836
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,12,5,0,0.005208,-0.083333,0.088542,weak_or_heterogeneous_positive,0.0,-0.000446
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,12,5,0,0.005208,-0.114583,0.109375,weak_or_heterogeneous_positive,0.0,-0.0001
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,12,10,2,0.447917,0.223958,0.708333,stable_positive,0.166667,0.04867
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,12,4,0,0.0,-0.119792,0.125,not_positive,0.0,-0.001498
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,12,4,5,0.018229,-0.067708,0.117188,weak_or_heterogeneous_positive,18.333333,0.001835
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,12,4,3,-0.049479,-0.127604,0.020833,not_positive,-54.333333,-0.005058
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,12,2,5,-0.010417,-0.111979,0.109375,not_positive,7.5,0.000379
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,12,11,12,1.057292,0.557292,1.572917,stable_positive,126.666667,0.107366
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,12,5,6,-0.041667,-0.174479,0.091146,not_positive,-11.833333,-0.005747
