model_family,mask_condition,direction,group_name,group_kind,n_rows,n_samples,mean_effect_logit,ci95_low,ci95_high,effect_status,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,mean_clean_mask_logit_gap
llava,answer_mask,corrupt,whole_bucket,upper_bound,56,28,1.299212,0.886579,1.748605,stable_positive,46,67.785714,37,0.455284,2.556815
llava,answer_mask,restore,activation_matched_control,matched_control,56,28,0.260777,0.08252,0.482282,stable_positive,36,17.678571,21,0.041124,2.556815
llava,answer_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.976074,0.713588,1.247454,stable_positive,46,51.964286,40,0.407641,2.556815
llava,answer_mask,restore,answer_adjacent_text,bridge_text,56,28,0.623361,0.464565,0.782192,stable_positive,47,30.232143,39,0.357177,2.556815
llava,answer_mask,restore,delta_matched_control,matched_control,56,28,0.649135,0.340018,1.009905,stable_positive,48,32.339286,37,0.169786,2.556815
llava,answer_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,1.402588,1.04398,1.81543,stable_positive,49,61.5,43,0.576291,2.556815
llava,answer_mask,restore,evidence_region,source_like,56,28,0.708391,0.508789,0.933908,stable_positive,50,66.410714,40,0.269044,2.556815
llava,answer_mask,restore,evidence_region_plus_answer_adjacent,bridge_combo,56,28,1.579485,1.270717,1.899275,stable_positive,56,114.107143,49,0.662654,2.556815
llava,answer_mask,restore,low_delta_control,control,56,28,0.027588,0.003104,0.061907,stable_positive,32,6.017857,8,0.011812,2.556815
llava,answer_mask,restore,random_control_1,random_control,56,28,0.372524,0.158691,0.645543,stable_positive,40,24.285714,28,0.090064,2.556815
llava,answer_mask,restore,random_control_2,random_control,56,28,0.365374,0.18185,0.579276,stable_positive,42,33.553571,28,0.118243,2.556815
llava,answer_mask,restore,random_control_3,random_control,56,28,0.377686,0.149205,0.663679,stable_positive,37,14.964286,24,0.069846,2.556815
llava,answer_mask,restore,random_control_4,random_control,56,28,0.37514,0.16748,0.644671,stable_positive,41,33.410714,26,0.11083,2.556815
llava,answer_mask,restore,top_hidden_delta,source_like,56,28,0.666051,0.382464,1.014369,stable_positive,44,68.892857,34,0.177073,2.556815
llava,answer_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,1.505301,1.129743,1.894148,stable_positive,56,113.892857,49,0.584087,2.556815
llava,answer_mask,restore,whole_bucket,upper_bound,56,28,1.205636,0.812151,1.650321,stable_positive,48,102.410714,43,0.392045,2.556815
llava,union_mask,corrupt,activation_matched_control,matched_control,104,52,-0.023494,-0.041391,-0.00939,not_positive,34,0.288462,14,-0.008675,2.230995
llava,union_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,104,52,0.535757,0.391433,0.670823,stable_positive,87,5.836538,60,1.067179,2.230995
llava,union_mask,corrupt,answer_adjacent_text,bridge_text,104,52,0.557073,0.413274,0.691519,stable_positive,89,5.682692,61,1.055099,2.230995
llava,union_mask,corrupt,delta_matched_control,matched_control,104,52,0.038161,-0.016864,0.098182,weak_or_heterogeneous_positive,56,1.125,26,-0.069222,2.230995
llava,union_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,104,52,0.590914,0.434833,0.741098,stable_positive,85,5.769231,64,1.043879,2.230995
llava,union_mask,corrupt,evidence_region,source_like,104,52,0.168044,0.055138,0.307655,stable_positive,64,-0.144231,24,0.457394,2.230995
llava,union_mask,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,104,52,0.714825,0.529785,0.909011,stable_positive,90,5.576923,61,1.459562,2.230995
llava,union_mask,corrupt,low_delta_control,control,104,52,0.007061,0.002329,0.012057,stable_positive,46,0.711538,6,0.004251,2.230995
llava,union_mask,corrupt,random_control_1,random_control,104,52,-0.004958,-0.032903,0.024301,not_positive,54,-0.134615,17,-0.254317,2.230995
llava,union_mask,corrupt,random_control_2,random_control,104,52,0.005183,-0.011531,0.02201,weak_or_heterogeneous_positive,47,0.961538,19,-0.054518,2.230995
llava,union_mask,corrupt,random_control_3,random_control,104,52,0.006479,-0.016827,0.028696,weak_or_heterogeneous_positive,56,0.951923,20,-0.038807,2.230995
llava,union_mask,corrupt,random_control_4,random_control,104,52,0.007268,-0.011043,0.025785,weak_or_heterogeneous_positive,48,0.25,20,-0.298631,2.230995
llava,union_mask,corrupt,top_hidden_delta,source_like,104,52,0.184082,0.076397,0.314528,stable_positive,66,3.855769,34,0.385014,2.230995
llava,union_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,104,52,0.730281,0.555326,0.909105,stable_positive,88,8.201923,70,1.507345,2.230995
llava,union_mask,corrupt,whole_bucket,upper_bound,104,52,1.161584,0.837402,1.493615,stable_positive,77,32.519231,66,-0.16253,2.230995
llava,union_mask,restore,activation_matched_control,matched_control,104,52,0.147498,0.045335,0.266677,stable_positive,62,9.711538,40,0.076734,2.230995
llava,union_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,104,52,0.750038,0.580886,0.919171,stable_positive,84,33.288462,73,1.107944,2.230995
llava,union_mask,restore,answer_adjacent_text,bridge_text,104,52,0.562124,0.445782,0.677565,stable_positive,91,23.682692,77,1.063845,2.230995
llava,union_mask,restore,delta_matched_control,matched_control,104,52,0.658015,0.472093,0.868896,stable_positive,82,35.855769,65,-0.039806,2.230995
llava,union_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,104,52,1.399621,1.133188,1.670373,stable_positive,94,64.673077,82,1.066924,2.230995
llava,union_mask,restore,evidence_region,source_like,104,52,0.532734,0.378061,0.708402,stable_positive,78,18.5,60,0.556728,2.230995
llava,union_mask,restore,evidence_region_plus_answer_adjacent,bridge_combo,104,52,1.297776,1.032358,1.589975,stable_positive,96,33.519231,77,1.779457,2.230995
llava,union_mask,restore,low_delta_control,control,104,52,0.022386,0.002742,0.045316,stable_positive,48,2.009615,24,0.057435,2.230995
llava,union_mask,restore,random_control_1,random_control,104,52,0.264949,0.147686,0.395451,stable_positive,75,16.365385,52,-0.132532,2.230995
llava,union_mask,restore,random_control_2,random_control,104,52,0.311486,0.174035,0.471642,stable_positive,73,19.009615,52,0.036147,2.230995
llava,union_mask,restore,random_control_3,random_control,104,52,0.349102,0.21813,0.493784,stable_positive,80,19.701923,53,0.100535,2.230995
llava,union_mask,restore,random_control_4,random_control,104,52,0.361741,0.23075,0.512094,stable_positive,76,21.375,59,-0.094545,2.230995
llava,union_mask,restore,top_hidden_delta,source_like,104,52,0.594989,0.402607,0.816275,stable_positive,82,19.5,60,0.18384,2.230995
llava,union_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,104,52,1.32266,1.052528,1.611403,stable_positive,94,47.288462,83,1.322703,2.230995
llava,union_mask,restore,whole_bucket,upper_bound,104,52,1.150503,0.885592,1.422457,stable_positive,86,53.432692,73,-0.127423,2.230995
qwen,answer_mask,corrupt,activation_matched_control,matched_control,56,28,0.005022,-0.013951,0.026228,weak_or_heterogeneous_positive,10,-1.142857,3,-0.015927,5.018694
qwen,answer_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.602679,2.699777,4.5,stable_positive,50,27.928571,36,0.615623,5.018694
qwen,answer_mask,corrupt,answer_adjacent_text,bridge_text,56,28,3.567522,2.672433,4.461496,stable_positive,49,27.5,36,0.629704,5.018694
qwen,answer_mask,corrupt,delta_matched_control,matched_control,56,28,0.020089,-0.003906,0.046875,weak_or_heterogeneous_positive,15,-1.428571,1,0.000223,5.018694
qwen,answer_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,3.582031,2.675223,4.47154,stable_positive,49,27.178571,36,0.602421,5.018694
qwen,answer_mask,corrupt,low_delta_control,control,56,28,0.010045,0.001116,0.020647,stable_positive,8,2.142857,4,0.024048,5.018694
qwen,answer_mask,corrupt,random_control_1,random_control,56,28,-0.002232,-0.022879,0.017857,not_positive,11,-0.178571,3,-0.012825,5.018694
qwen,answer_mask,corrupt,random_control_2,random_control,56,28,-0.000558,-0.017857,0.017299,not_positive,7,0.392857,4,0.015431,5.018694
qwen,answer_mask,corrupt,random_control_3,random_control,56,28,0.020647,0.002232,0.040737,stable_positive,12,0.589286,6,0.017905,5.018694
qwen,answer_mask,corrupt,random_control_4,random_control,56,28,0.0,-0.013951,0.014509,not_positive,10,1.142857,4,0.02862,5.018694
qwen,answer_mask,corrupt,top_hidden_delta,source_like,56,28,0.007812,-0.012277,0.027902,weak_or_heterogeneous_positive,14,0.553571,4,0.000415,5.018694
qwen,answer_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,3.606585,2.699777,4.498884,stable_positive,49,29.589286,37,0.6524,5.018694
qwen,answer_mask,corrupt,whole_bucket,upper_bound,56,28,0.106027,0.037946,0.177455,stable_positive,26,-1.607143,8,0.006767,5.018694
qwen,answer_mask,restore,activation_matched_control,matched_control,56,28,0.145926,0.064174,0.23577,stable_positive,20,165.375,22,-0.013771,5.018694
qwen,answer_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,4.172712,2.982143,5.301897,stable_positive,49,523.482143,47,0.55146,5.018694
qwen,answer_mask,restore,answer_adjacent_text,bridge_text,56,28,4.027623,2.8524,5.145089,stable_positive,50,522.839286,47,0.551595,5.018694
qwen,answer_mask,restore,delta_matched_control,matched_control,56,28,0.09654,0.040179,0.166853,stable_positive,24,131.732143,24,-0.003444,5.018694
qwen,answer_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,4.234096,3.10519,5.304967,stable_positive,47,520.839286,47,0.620467,5.018694
qwen,answer_mask,restore,low_delta_control,control,56,28,0.000558,-0.007254,0.008092,weak_or_heterogeneous_positive,8,-4.553571,11,0.007207,5.018694
qwen,answer_mask,restore,random_control_1,random_control,56,28,0.088449,0.023996,0.162109,stable_positive,20,95.285714,21,-0.004899,5.018694
qwen,answer_mask,restore,random_control_2,random_control,56,28,0.057199,0.013393,0.111328,stable_positive,16,33.285714,18,0.017146,5.018694
qwen,answer_mask,restore,random_control_3,random_control,56,28,0.104353,0.03683,0.182199,stable_positive,23,57.964286,20,-0.002041,5.018694
qwen,answer_mask,restore,random_control_4,random_control,56,28,0.078404,0.028181,0.140067,stable_positive,24,43.982143,24,0.01959,5.018694
qwen,answer_mask,restore,top_hidden_delta,source_like,56,28,0.109375,0.043806,0.191685,stable_positive,24,116.285714,23,0.013725,5.018694
qwen,answer_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,4.149833,2.955078,5.297433,stable_positive,47,525.321429,48,0.573574,5.018694
qwen,answer_mask,restore,whole_bucket,upper_bound,56,28,0.337054,0.18192,0.493304,stable_positive,33,242.446429,28,0.001354,5.018694
qwen,union_mask,corrupt,activation_matched_control,matched_control,104,52,0.008714,-0.003906,0.021635,weak_or_heterogeneous_positive,24,-0.394231,3,-0.010469,3.947566
qwen,union_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,104,52,2.803936,2.238882,3.409555,stable_positive,86,110.951923,67,0.751646,3.947566
qwen,union_mask,corrupt,answer_adjacent_text,bridge_text,104,52,2.782752,2.215144,3.38762,stable_positive,86,106.432692,66,0.752493,3.947566
qwen,union_mask,corrupt,delta_matched_control,matched_control,104,52,0.005108,-0.010817,0.020433,weak_or_heterogeneous_positive,31,-0.451923,3,-0.014105,3.947566
qwen,union_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,104,52,2.794171,2.231671,3.404147,stable_positive,86,98.076923,67,0.771135,3.947566
qwen,union_mask,corrupt,low_delta_control,control,104,52,0.005108,-0.004808,0.014724,weak_or_heterogeneous_positive,15,0.557692,5,0.001747,3.947566
qwen,union_mask,corrupt,random_control_1,random_control,104,52,0.010216,-0.001202,0.022837,weak_or_heterogeneous_positive,22,-0.019231,6,0.008015,3.947566
qwen,union_mask,corrupt,random_control_2,random_control,104,52,0.01232,-0.001803,0.027945,weak_or_heterogeneous_positive,24,0.480769,6,0.005322,3.947566
qwen,union_mask,corrupt,random_control_3,random_control,104,52,0.002704,-0.007812,0.013822,weak_or_heterogeneous_positive,15,0.384615,5,0.006382,3.947566
qwen,union_mask,corrupt,random_control_4,random_control,104,52,-0.001502,-0.013221,0.010517,not_positive,18,0.528846,3,0.000317,3.947566
qwen,union_mask,corrupt,top_hidden_delta,source_like,104,52,0.061298,0.019832,0.112079,stable_positive,32,1.961538,10,0.027479,3.947566
qwen,union_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,104,52,2.826472,2.2503,3.447115,stable_positive,86,109.067308,68,0.762793,3.947566
qwen,union_mask,corrupt,whole_bucket,upper_bound,104,52,0.240685,0.136418,0.363281,stable_positive,61,0.846154,24,0.031315,3.947566
qwen,union_mask,restore,activation_matched_control,matched_control,104,52,0.078576,0.042368,0.115986,stable_positive,42,22.057692,35,-0.003257,3.947566
qwen,union_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,104,52,3.327374,2.690204,4.001803,stable_positive,86,390.307692,81,0.967494,3.947566
qwen,union_mask,restore,answer_adjacent_text,bridge_text,104,52,3.111629,2.473558,3.769231,stable_positive,85,370.336538,79,0.957851,3.947566
qwen,union_mask,restore,delta_matched_control,matched_control,104,52,0.060547,0.016526,0.113431,stable_positive,46,-30.153846,38,-0.003331,3.947566
qwen,union_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,104,52,3.280799,2.63732,3.945463,stable_positive,87,389.653846,79,0.969122,3.947566
qwen,union_mask,restore,low_delta_control,control,104,52,0.00616,-0.005859,0.019832,weak_or_heterogeneous_positive,16,-1.778846,23,-0.007547,3.947566
qwen,union_mask,restore,random_control_1,random_control,104,52,0.049579,0.018329,0.084736,stable_positive,30,23.846154,33,0.003032,3.947566
qwen,union_mask,restore,random_control_2,random_control,104,52,0.107422,0.04357,0.194712,stable_positive,44,47.663462,37,0.006525,3.947566
qwen,union_mask,restore,random_control_3,random_control,104,52,0.052734,0.022987,0.091797,stable_positive,38,38.75,40,0.012007,3.947566
qwen,union_mask,restore,random_control_4,random_control,104,52,0.047476,0.021034,0.076322,stable_positive,36,15.932692,34,0.001075,3.947566
qwen,union_mask,restore,top_hidden_delta,source_like,104,52,0.157602,0.065956,0.27524,stable_positive,40,50.144231,37,-8.6e-05,3.947566
qwen,union_mask,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,104,52,3.423528,2.751202,4.081881,stable_positive,87,392.692308,82,1.00644,3.947566
qwen,union_mask,restore,whole_bucket,upper_bound,104,52,0.326773,0.21274,0.452524,stable_positive,63,104.403846,55,-0.013695,3.947566
