model_family,mask_condition,position_group,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,ci95_low,ci95_high,effect_status,mean_rank_effect,mean_gap_closure
qwen,answer_mask,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,24,2,5,-0.001302,-0.009115,0.00651,not_positive,-15.458333,-0.001079
qwen,answer_mask,top_hidden_delta,restore,drop_matched_topk,24,7,10,0.007812,0.0,0.015625,weak_or_heterogeneous_positive,3.541667,0.000707
qwen,answer_mask,top_hidden_delta,restore,evidence_attribution_topk,24,4,7,0.003906,-0.003906,0.011719,weak_or_heterogeneous_positive,-6.875,0.000519
qwen,answer_mask,top_hidden_delta,restore,random_active_topk,24,3,5,0.000651,-0.00651,0.007812,weak_or_heterogeneous_positive,-23.041667,-0.000513
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,24,6,3,-0.028646,-0.083333,0.023438,not_positive,-0.083333,-0.003251
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,24,11,2,0.007812,-0.072917,0.085938,weak_or_heterogeneous_positive,-0.083333,-0.00491
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,24,6,1,-0.036458,-0.104167,0.028646,not_positive,-0.416667,-0.013704
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,24,23,6,0.747396,0.434896,1.132812,stable_positive,1.75,0.122925
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,24,12,1,0.044271,-0.002604,0.09375,weak_or_heterogeneous_positive,-0.125,0.00509
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,24,11,8,-0.046875,-0.104167,0.005208,not_positive,3.875,-0.010398
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,24,8,3,-0.058594,-0.161458,0.063802,not_positive,12.791667,-0.016711
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,24,12,12,-0.010417,-0.095052,0.066406,not_positive,47.916667,-0.011779
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,24,24,22,1.279297,0.867839,1.729818,stable_positive,1052.041667,0.212161
qwen,answer_mask,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,24,13,9,0.018229,-0.052083,0.082031,weak_or_heterogeneous_positive,8.333333,-0.000495
qwen,union_mask,answer_adjacent_text,corrupt,activation_matched_topk,24,11,2,0.033854,-0.026042,0.091146,weak_or_heterogeneous_positive,-0.125,0.000404
qwen,union_mask,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,24,1,0,-0.263021,-0.356771,-0.171875,not_positive,-0.958333,-0.043332
qwen,union_mask,answer_adjacent_text,corrupt,drop_matched_topk,24,12,3,0.028646,-0.085938,0.145833,weak_or_heterogeneous_positive,-0.541667,-0.005941
qwen,union_mask,answer_adjacent_text,corrupt,evidence_attribution_topk,24,24,14,1.346354,0.877604,1.901042,stable_positive,2.291667,0.206674
qwen,union_mask,answer_adjacent_text,corrupt,random_active_topk,24,8,1,-0.002604,-0.041667,0.033854,not_positive,-0.208333,-0.000322
qwen,union_mask,answer_adjacent_text,restore,activation_matched_topk,24,7,8,0.019531,-0.036458,0.078125,weak_or_heterogeneous_positive,-68.75,-0.002577
qwen,union_mask,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,24,0,0,-0.402344,-0.510417,-0.298177,not_positive,-486.166667,-0.066432
qwen,union_mask,answer_adjacent_text,restore,drop_matched_topk,24,11,10,0.050781,-0.071615,0.166667,weak_or_heterogeneous_positive,-38.583333,-0.002668
qwen,union_mask,answer_adjacent_text,restore,evidence_attribution_topk,24,24,23,1.851562,1.360677,2.416667,stable_positive,643.875,0.284036
qwen,union_mask,answer_adjacent_text,restore,random_active_topk,24,10,7,-0.001302,-0.044271,0.03776,not_positive,-46.625,-0.002805
qwen,union_mask,top_hidden_delta,corrupt,activation_matched_topk,24,2,0,-0.013021,-0.039062,0.010417,not_positive,-0.083333,-0.00138
qwen,union_mask,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,24,2,0,-0.002604,-0.023438,0.018229,not_positive,-0.125,-0.001426
qwen,union_mask,top_hidden_delta,corrupt,drop_matched_topk,24,2,0,-0.002604,-0.018229,0.013021,not_positive,-0.041667,0.000199
qwen,union_mask,top_hidden_delta,corrupt,evidence_attribution_topk,24,1,1,-0.018229,-0.046875,0.005208,not_positive,0.041667,-0.00292
qwen,union_mask,top_hidden_delta,corrupt,random_active_topk,24,3,0,0.005208,-0.015625,0.028646,weak_or_heterogeneous_positive,-0.125,0.000327
qwen,union_mask,top_hidden_delta,restore,activation_matched_topk,24,1,4,-0.003906,-0.013021,0.005208,not_positive,-4.5,-0.000825
qwen,union_mask,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,24,4,5,0.002604,-0.007812,0.013021,weak_or_heterogeneous_positive,1.166667,0.00051
qwen,union_mask,top_hidden_delta,restore,drop_matched_topk,24,3,6,-0.002604,-0.013021,0.009115,not_positive,-5.5,0.000341
qwen,union_mask,top_hidden_delta,restore,evidence_attribution_topk,24,3,7,0.0,-0.009115,0.009115,not_positive,11.75,-0.000158
qwen,union_mask,top_hidden_delta,restore,random_active_topk,24,1,5,-0.001302,-0.009115,0.00651,not_positive,-3.708333,-0.000213
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,24,10,2,0.005208,-0.067708,0.072917,weak_or_heterogeneous_positive,0.0,0.001641
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,24,9,2,0.125,-0.023438,0.299479,weak_or_heterogeneous_positive,-0.083333,0.014099
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,24,9,0,-0.026042,-0.085938,0.03125,not_positive,-0.333333,-0.00805
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,24,20,8,0.721354,0.348958,1.161458,stable_positive,1.583333,0.108007
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,24,8,1,-0.005208,-0.067708,0.054688,not_positive,-0.125,0.002204
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,24,12,8,0.027344,-0.03125,0.084635,weak_or_heterogeneous_positive,20.625,0.000537
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,24,10,6,0.201823,-0.011719,0.46875,weak_or_heterogeneous_positive,-69.75,0.020452
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,24,13,10,-0.016927,-0.106771,0.067708,not_positive,7.791667,-0.009662
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,24,23,21,1.089844,0.630208,1.617188,stable_positive,397.375,0.169614
qwen,union_mask,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,24,12,8,0.027344,-0.014323,0.066406,weak_or_heterogeneous_positive,0.875,0.008035
